CalisanID,Yas,Departman,Sehir,DeneyimYili,Maas,PerformansPuani,IseGirisTarihi
41,57,IK,Istanbul,26,30837.56,4.19,2016-03-16
42,22,IK,Istanbul,20,28524.51,2.68,2016-03-27
43,29,IK,Istanbul,0,27525.82,1.25,2016-04-07
44,45,Finans,Ankara,6,17985.32,1.85,2016-04-18
45,50,Pazarlama,Bursa,25,30191.65,4.24,2016-04-29
46,54,Finans,Izmir,19,36955.259999999995,2.88,2016-05-10
47,43,Satis,Ankara,28,35892.490000000005,1.22,2016-05-21
48,58,Finans,Bursa,18,27885.85,3.54,2016-06-01
49,57,Pazarlama,Ankara,16,26677.57,1.48,2016-06-12
50,55,IT,Bursa,1,7192.74,1.7,2016-06-23
51,25,Satis,Bursa,12,30664.65,3.26,2016-07-04
52,49,Finans,Izmir,10,18198.7,4.47,2016-07-15
53,55,Satis,Ankara,10,21781.48,1.56,2016-07-26
54,41,Finans,Izmir,16,34506.3,4.28,2016-08-06
55,49,Finans,Izmir,8,26788.26,3.74,2016-08-17
56,26,Pazarlama,Istanbul,2,25149.87,4.9,2016-08-28
57,41,IK,Bursa,7,15444.34,3.25,2016-09-08
58,55,IT,Istanbul,17,33930.09,2.1,2016-09-19
59,52,Pazarlama,Izmir,15,19411.989999999998,3.41,2016-09-30
60,59,Pazarlama,Izmir,13,32382.16,2.32,2016-10-11
61,31,IT,Izmir,25,33205.22,3.79,2016-10-22
62,51,IT,Istanbul,6,21053.84,4.62,2016-11-02
63,39,IT,Izmir,25,30349.93,1.91,2016-11-13
64,53,Pazarlama,Izmir,20,33025.17,4.66,2016-11-24
65,24,Satis,Izmir,22,28427.79,2.89,2016-12-05
66,41,Pazarlama,Izmir,8,15378.93,2.22,2016-12-16
67,40,Finans,Istanbul,17,27551.93,3.73,2016-12-27
68,43,Pazarlama,Istanbul,7,18244.85,1.98,2017-01-07
69,25,IK,Bursa,10,23968.49,1.67,2017-01-18
70,33,IK,Izmir,9,29335.03,1.16,2017-01-29
71,38,Finans,Ankara,27,25864.17,2.22,2017-02-09
72,34,Pazarlama,Istanbul,5,15047.97,3.2,2017-02-20
73,51,IK,Istanbul,29,33865.53,2.94,2017-03-03
74,31,Finans,Bursa,26,20525.64,3.67,2017-03-14
75,34,Pazarlama,Izmir,8,15246.91,4.83,2017-03-25
76,25,IT,Istanbul,6,21709.1,2.62,2017-04-05
77,36,Satis,Bursa,17,32352.99,3.78,2017-04-16
78,42,IK,Ankara,14,30507.13,1.99,2017-04-27
79,37,Finans,Ankara,0,16988.67,3.11,2017-05-08
80,57,Finans,Ankara,23,25740.58,1.41,2017-05-19
81,26,Satis,Izmir,0,28621.88,2.73,2017-05-30
82,30,IT,Istanbul,7,21213.79,2.72,2017-06-10
83,48,IK,Istanbul,0,32217.34,3.1,2017-06-21
84,45,Finans,Ankara,27,27023.02,4.75,2017-07-02
85,35,Finans,Izmir,27,25008.57,,2017-07-13
86,25,Finans,Izmir,3,24287.57,2.4,2017-07-24
87,51,Pazarlama,Izmir,26,43638.54,4.0,2017-08-04
88,34,IK,,16,27716.54,3.5,2017-08-15
89,34,Pazarlama,Ankara,20,24783.59,4.38,2017-08-26
90,37,Satis,Izmir,0,20228.23,4.86,2017-09-06
91,51,Finans,Istanbul,27,28685.23,1.1,2017-09-17
92,30,Finans,Ankara,8,25291.4,1.34,2017-09-28
93,28,Satis,Bursa,22,31904.77,3.91,2017-10-09
94,43,Finans,Izmir,2,30349.44,4.19,2017-10-20
95,49,Satis,Istanbul,6,15601.46,4.89,2017-10-31
96,29,Finans,Istanbul,2,24709.85,2.09,2017-11-11
97,39,Satis,Bursa,16,19829.16,4.05,2017-11-22
98,27,Pazarlama,Izmir,17,20793.4,2.56,2017-12-03
99,58,Satis,Istanbul,13,24325.02,1.46,2017-12-14
100,51,Pazarlama,Ankara,13,,3.5,2017-12-25
101,48,IT,Ankara,22,38916.71,2.06,2018-01-05
102,22,Pazarlama,Ankara,28,19857.28,4.64,2018-01-16
103,44,Pazarlama,Izmir,4,17632.84,4.29,2018-01-27
104,56,IT,,25,35973.4,1.51,2018-02-07
105,34,Satis,Istanbul,15,26856.84,4.65,2018-02-18
106,28,IT,Ankara,20,18710.940000000002,2.7,2018-03-01
107,56,Satis,Ankara,17,30479.94,2.78,2018-03-12
108,51,Finans,Bursa,7,18748.45,4.75,2018-03-23
109,39,Finans,Izmir,22,21863.48,1.87,2018-04-03
110,27,Satis,Izmir,18,20669.1,2.74,2018-04-14
111,37,Finans,Izmir,23,,4.58,2018-04-25
112,34,Pazarlama,Bursa,14,30522.75,1.53,2018-05-06
113,50,Pazarlama,Izmir,16,34480.05,3.34,2018-05-17
114,59,IT,Bursa,17,24573.76,4.72,2018-05-28
115,31,Finans,Istanbul,7,21379.72,1.63,2018-06-08
116,45,Satis,Istanbul,29,34012.14,2.33,2018-06-19
117,43,Satis,Istanbul,7,33162.009999999995,2.9,2018-06-30
118,26,Finans,Bursa,18,,3.54,2018-07-11
119,49,IK,Izmir,3,31798.99,4.31,2018-07-22
120,34,Pazarlama,Istanbul,16,24100.02,3.28,2018-08-02
121,33,IT,Ankara,0,29700.89,1.55,2018-08-13
122,28,IK,Izmir,21,29362.25,3.4,2018-08-24
123,55,Satis,Izmir,29,40179.979999999996,,2018-09-04
124,43,Pazarlama,Bursa,9,13840.27,3.47,2018-09-15
125,43,Pazarlama,Istanbul,25,27830.21,4.97,2018-09-26
126,52,IK,Ankara,13,30110.2,4.61,2018-10-07
127,50,IK,Izmir,24,22325.370000000003,2.51,2018-10-18
128,34,Satis,Istanbul,16,32695.6,1.15,2018-10-29
129,34,IK,Bursa,9,10815.34,1.6,2018-11-09
130,58,Pazarlama,Ankara,1,19055.46,2.34,2018-11-20
131,29,Pazarlama,Ankara,20,30811.74,2.44,2018-12-01
132,43,Finans,Istanbul,16,23688.8,1.1,2018-12-12
133,37,IT,Bursa,15,23870.08,1.08,2018-12-23
134,40,Finans,Izmir,14,30877.95,1.04,2019-01-03
135,50,Finans,Ankara,10,30445.4,2.05,2019-01-14
136,38,Satis,Bursa,26,36293.07,3.39,2019-01-25
137,27,Finans,Istanbul,25,33187.19,2.54,2019-02-05
138,57,IT,Izmir,3,25200.69,4.83,2019-02-16
139,35,Satis,Izmir,2,35639.02,1.62,2019-02-27
140,54,Satis,Izmir,19,21389.05,1.91,2019-03-10
141,45,Pazarlama,Istanbul,5,23027.77,4.31,2019-03-21
142,53,IK,Istanbul,13,22393.72,1.82,2019-04-01
143,55,Satis,Izmir,2,16895.17,4.69,2019-04-12
144,49,Pazarlama,Istanbul,0,22705.99,2.76,2019-04-23
145,36,Pazarlama,Ankara,8,25054.68,3.86,2019-05-04
146,54,Pazarlama,Istanbul,6,,1.15,2019-05-15
147,56,Satis,Bursa,11,29887.95,,2019-05-26
148,53,Satis,Bursa,22,19535.690000000002,4.11,2019-06-06
149,40,Finans,Izmir,0,34266.79,2.23,2019-06-17
150,31,IK,Ankara,21,23054.75,3.67,2019-06-28
151,31,Satis,Istanbul,11,17766.98,1.0,2019-07-09
152,35,Pazarlama,Ankara,1,26839.07,2.03,2019-07-20
153,43,IK,Izmir,14,27874.37,1.1,2019-07-31
154,23,Finans,Istanbul,18,26453.33,4.88,2019-08-11
155,53,Pazarlama,Bursa,23,,3.44,2019-08-22
156,36,IT,Ankara,3,29070.37,3.33,2019-09-02
157,38,IT,Istanbul,10,16226.26,3.29,2019-09-13
158,47,Pazarlama,Ankara,2,16509.64,3.69,2019-09-24
159,55,IT,Ankara,26,25431.71,4.7,2019-10-05
160,43,IT,Izmir,17,31303.31,3.15,2019-10-16
161,41,Finans,Izmir,6,21393.62,1.85,2019-10-27
162,40,IK,Izmir,10,35687.869999999995,1.13,2019-11-07
163,22,Satis,Izmir,14,26887.12,2.24,2019-11-18
164,35,IT,Istanbul,25,31026.67,1.89,2019-11-29
165,32,Pazarlama,Ankara,26,33434.880000000005,1.66,2019-12-10
166,49,Satis,Ankara,21,29361.52,4.58,2019-12-21
167,50,Finans,Ankara,14,15270.22,2.38,2020-01-01
168,30,Finans,Bursa,14,29513.92,3.02,2020-01-12
169,55,IK,Bursa,7,26865.21,2.13,2020-01-23
170,58,IT,Ankara,29,35196.479999999996,,2020-02-03
171,47,Satis,Izmir,10,33036.64,3.98,2020-02-14
172,50,Satis,Bursa,13,18700.47,4.6,2020-02-25
173,29,Pazarlama,Ankara,24,24709.79,4.42,2020-03-07
174,37,Satis,Ankara,12,29277.57,4.13,2020-03-18
175,22,Finans,Ankara,8,,1.97,2020-03-29
176,40,IT,Bursa,24,19158.35,2.46,2020-04-09
177,22,IT,Izmir,24,37771.29,4.17,2020-04-20
178,31,Finans,Ankara,25,19453.03,4.05,2020-05-01
179,56,Finans,Ankara,9,29733.32,2.18,2020-05-12
180,27,Satis,Izmir,10,24603.99,2.29,2020-05-23
181,43,Pazarlama,Izmir,24,30333.07,4.8,2020-06-03
182,38,IT,Bursa,14,32649.5,2.98,2020-06-14
183,33,Finans,Izmir,25,26702.86,3.61,2020-06-25
184,54,Finans,Bursa,3,,4.82,2020-07-06
185,58,Pazarlama,Bursa,15,15742.95,4.72,2020-07-17
186,27,Pazarlama,Bursa,10,32102.08,1.63,2020-07-28
187,50,Pazarlama,Istanbul,1,23346.21,2.48,2020-08-08
188,51,IK,Ankara,10,28545.75,4.78,2020-08-19
189,53,IT,Bursa,10,28226.01,3.76,2020-08-30
190,29,IT,Istanbul,16,28606.57,4.11,2020-09-10
191,50,Satis,Istanbul,27,43070.89,4.28,2020-09-21
192,36,IT,Ankara,12,20609.07,2.3,2020-10-02
193,35,Satis,Ankara,17,24506.85,3.13,2020-10-13
194,41,Finans,Izmir,29,37318.17,4.87,2020-10-24
195,35,Pazarlama,Istanbul,8,21065.83,3.94,2020-11-04
196,46,Finans,Istanbul,11,15839.59,2.67,2020-11-15
197,25,IK,Istanbul,16,44450.78,,2020-11-26
198,29,IT,Bursa,25,26584.67,1.3,2020-12-07
199,54,Pazarlama,,8,21412.85,2.79,2020-12-18
200,55,Satis,Istanbul,23,22892.73,2.22,2020-12-29
201,33,IK,Bursa,4,27939.31,3.28,2021-01-09
202,49,IK,Ankara,20,29703.37,4.93,2021-01-20
203,26,IK,Izmir,16,25111.68,1.26,2021-01-31
204,53,Pazarlama,Izmir,5,14814.62,3.57,2021-02-11
205,52,IT,Istanbul,10,20459.74,1.83,2021-02-22
206,36,IT,Istanbul,12,30252.59,1.59,2021-03-05
207,34,Finans,Ankara,12,26151.75,4.53,2021-03-16
208,38,Pazarlama,Bursa,19,22483.93,1.59,2021-03-27
209,48,IT,Bursa,3,7245.25,1.05,2021-04-07
210,54,IT,Istanbul,12,26562.12,3.47,2021-04-18
211,55,Satis,Ankara,6,25139.11,4.94,2021-04-29
212,30,IK,Istanbul,17,31142.25,3.88,2021-05-10
213,52,Satis,Izmir,29,33695.58,3.56,2021-05-21
214,55,IK,Izmir,17,26389.35,4.63,2021-06-01
215,37,Finans,Izmir,12,,3.59,2021-06-12
216,44,Finans,Bursa,21,21541.34,3.23,2021-06-23
217,56,Finans,Izmir,2,19550.71,3.22,2021-07-04
218,34,IK,Bursa,16,20064.29,4.36,2021-07-15
219,26,IT,Istanbul,5,32241.0,2.7,2021-07-26
220,42,Pazarlama,Bursa,16,24414.44,2.5,2021-08-06
221,40,IT,Ankara,3,28602.41,1.83,2021-08-17
222,43,Pazarlama,Istanbul,4,14907.99,2.25,2021-08-28
223,44,IT,Ankara,26,28407.86,2.79,2021-09-08
224,40,IK,Istanbul,13,12657.54,1.07,2021-09-19
225,27,Finans,Ankara,17,25296.36,2.17,2021-09-30
226,27,IK,Ankara,19,23618.74,1.01,2021-10-11
227,27,Satis,Istanbul,8,18991.73,1.32,2021-10-22
228,28,Satis,Bursa,21,25024.89,2.39,2021-11-02
229,53,Finans,Izmir,4,16358.34,3.11,2021-11-13
230,51,Pazarlama,Istanbul,18,18588.75,2.18,2021-11-24
231,38,Satis,Bursa,1,23279.35,4.38,2021-12-05
232,26,Pazarlama,Izmir,3,29523.35,2.06,2021-12-16
233,35,Pazarlama,Bursa,14,16181.66,2.29,2021-12-27
234,24,Pazarlama,Bursa,3,22058.85,1.77,2022-01-07
235,34,Satis,Istanbul,17,23956.44,2.58,2022-01-18
236,46,Pazarlama,Izmir,6,23031.88,1.63,2022-01-29
237,49,Finans,Bursa,22,30612.34,1.85,2022-02-09
238,38,Satis,Izmir,29,27643.67,2.67,2022-02-20
239,27,IK,Ankara,23,,1.3,2022-03-03
240,51,IK,Istanbul,22,29861.66,4.57,2022-03-14
241,31,IT,,7,34933.89,2.94,2022-03-25
242,36,Satis,,1,20504.13,2.53,2022-04-05
243,28,Satis,Istanbul,13,25387.79,1.43,2022-04-16
244,24,IK,Istanbul,21,37906.54,3.38,2022-04-27
245,59,Pazarlama,Istanbul,19,32420.43,2.6,2022-05-08
246,44,IK,Izmir,6,15732.92,1.8,2022-05-19
247,31,Satis,Istanbul,4,28663.59,3.64,2022-05-30
248,57,Finans,Bursa,25,25006.11,2.91,2022-06-10
249,37,IT,Ankara,16,27057.77,4.66,2022-06-21
250,42,IK,Bursa,4,20348.36,4.48,2022-07-02
